"NUMBER","INETSDESC","INETSHORTD","UNITS","UNITWEIGHT","PRICE1","DELDATE","DISCONT","INETIMAGE","CANTSELL"
"AACCHA              ","Chamuel angel charm                                                                                                     ","The Archangel Chamuel teaches us the pure and healthy meaning of love. Chamuel reminds us to prioritize respect and love for others. The silver plated Chamuel angel charm measures approximately 1 1/2"" L x 1 /1/4"" W, with the additional measurement of 3 charms.","18","0.05","10.95",,1,"AACCHA.jpg                               ",0
"AACJOP              ","Jophiel angel charm                                                                                                     ","The Archangel Jophiel brings harmony and balance into our fast paced and turbulent lives. Jophiel helps us stay centered and calm. The silver plated Jophiel angel charm measures approximately 1 1/2"" L x 1 1/4"" W, with the additional measurement of 3 charms cascading beneath.","21","0.05","10.95",,1,"AACJOP.jpg                               ",0
"AACMIC              ","Michael angel charm                                                                                                     ","The Archangel Michael offers strength and protection. At different times in our lives, we all need a fierce and powerful protector. The silver plated Michael angel charm measures approximately 1 1/2"" L x 1 /1/4"" W, with the additional measurement of 3 charms cascading beneath.","30","0.05","8.95",,1,"AACMIC.jpg                               ",0
"AACRAP              ","Raphael angel charm                                                                                                     ","The Archangel Raphael heals us, helping us recover from physical hardships, emotional distress and financial setbacks. The silver plated Raphael angel charm measures approximately 1 1/2"" L x 1 1/4"" W, with the additional measurement of 3 charms cascading beneath.","34","0.05","8.95",,1,"AACRAP.jpg                               ",0
"AACURI              ","Uriel angel charm                                                                                                       ","The Archangel Uriel celebrates the spirit and power of helping others. Uriel gives us that spark of creativity, or insight into a personal challenge. The silver plated Uriel angel charm measures 1 1/2"" L x 1 /1/4"" W, with the additional measurement of 3 charms cascading. Sizes may vary.","1","0.05","10.95",,1,"AACURI.jpg                               ",0
"AACZAD              ","Zadikiel angel charm                                                                                                    ","The archangel Zadkiel heals our mind and gives us the strength to forgive. Zadkiel teaches us to find peace through compassion. The silver plated Zadkiel Angel charm measures approximately 1 1/2"" L x 1 /1/4"" W, with the additional measurement of 3 charms cascading beneath.","8","0.05","8.95",,1,"AACZAD.jpg                               ",0
"AAGAB               ","Archangel Gabriel amulet                                                                                                ","Wear this amulet of the Archangel Gabriel to bring his gentle healing and subtle influence into your life. Pewter pendant only. 1"" x 1/2"". Made in U.S.A.","13","0.005","1.95",,0,"AAGAB.jpg                                ",0
"AALLS               ","All Saints talisman                                                                                                     ","A talisman kit for those seeking the divine influence and assistance of the saints, Comes with a pouch, a double sided 1 1/8” medallion (both sides shown), 2 charms depicting Mary & Jesus and a 26” cord.","62","0.03","9.95",,0,"AALLS.JPG                                ",0
"AAMALL              ","All Seeing Eye amulet                                                                                                   ","Similar to a Hamsa Hand symbol, this All Seeing Eye amulet offers you protection from evil powers and curses. Made in USA. Has cord.  Pewter.1 1/4"" x 3/4"".  Made in U.S.A.","35","0.02","8.95",,0,"AAMALL.jpg                               ",0
"AAMAVEE             ","Avert Evil Eye amulet                                                                                                   ","Created in the image of an eye within a triangle, this amulet is charged with protective magic to help keep you safe from powerful curses. Made in USA. Has cord. Pewter. 1”.","57","0.02","8.95",,0,"AAMAVEE.jpg                              ",0
"AAMDEV              ","Devil Trap amulet                                                                                                       ","The Devil Trap Amulet uses its bowl-like shape and spiraling pattern of inscriptions to confuse and trap evil influences. Made in USA. Has cord. Pewter. 1""","0","0.02","8.95",10/18/2019 0:00:00,0,"AAMDEV.jpg                               ",0
"AAMDRAP             ","Dragon and Phoenix amulet                                                                                               ","A double sided pewter amulet with the image of a dragon offering prosperity and good fortune, and the image of a phoenix bringing change and rebirth. Made in U.S.A. Has cord. Pewter. 1"".","3","0.02","8.95",10/11/2019 0:00:00,0,"AAMDRAP.jpg                              ",0
"AAMIC               ","Archangel Michael amulet                                                                                                ","Wear this amulet of the Archangel Michael to bring his gentle and subtle influence into your life. Lead free pewter pendant only. 1"" x 1/2"". Made in U.S.A.","46","0.005","1.95",,0,"AAMIC.jpg                                ",0
"AAMIRRA             ","Irresistible amulet                                                                                                     ","Depicting many arms reaching outward from a central orb, this amulet is worn to help make every action imbued with an irresistible attraction. Made in USA. Has cord. Lead free pewter. 1""","38","0.02","8.95",,0,"AAMIRRA.jpg                              ",0
"AAMRUNW             ","Rune of Wealth amulet                                                                                                   ","The Rune of Wealth amulet depicts a runic inscription intended to help bring the wearer prosperity. Made in U.S.A. Has cord. Lead free pewter. 1"" x 1/2""","8","0.02","8.95",10/11/2019 0:00:00,0,"AAMRUNW.jpg                              ",0
"AAMSEAS             ","Seal of Solomon Health and Prosperity amulet                                                                            ","The Seal of Solomon Health and Prosperity has been created to aid you in invoke energies for good health, good luck, and prosperity in all things. Made in USA. Has cord. Lead free pewter. 3/4”","54","0.02","8.95",,0,"AAMSEAS.jpg                              ",0
"AAMSUND             ","Sun Disk, Mother Protector amulet                                                                                       ","Double-sided, the Sun Disk amulet has been sculpted to display a stylized sun on both its front and back faces.  Made in USA. Has cord. Lea free pewter. 1"".","9","0.02","8.95",,0,"AAMSUND.jpg                              ",0
"AAMTRE              ","Tree of Life amulet                                                                                                     ","The Tree of Life amulet; a potent symbol used as a focus for accessing the energies that unite the physical and the spiritual. Made in U.S.A. Has cord. Lead free pewter. 1” x 3/4”.","10","0.02","8.95",,0,"AAMTRE.jpg                               ",0
"AANGW               ","Angel Wing                                                                                                              ","Let the Angel wing bring your wishes out, and guide you under its protection. Aids in love, support, comfort, protection, and healing. Made in U.S.A. With cord. Approximately 4"" by 1 1/2"" at its widest points.","10","0.03","7.95",,0,"AANGW.jpg                                ",0
"AANK                ","Ankh Sword amulet                                                                                                       ","Combining the symbol of an Ankh with that of a sword, this amulet is a powerful symbol of everlasting life force and energy.  Made in USA. Has cord. Lead free pewter. 3 1/4” x 1 1/4”.","3","0.04","7.95",10/11/2019 0:00:00,0,"AANK.JPG                                 ",0
"AANK2               ","Ankh amulet                                                                                                             ","This stylized ankh is smooth and is a benevolent symbol of the key to the eternal life and strength in this life. Lead free pewter Ankh amulet, 1 3/4"". with cord. Made in U.S.A.","15","0.03","8.95",,0,"AANK2.jpg                                ",0
"AANK3               ","1 1/2"" Ankh amulet                                                                                                      ","This stylized ankh has the subtlest of detailing upon its face, and outer ridge accented. A benevolent symbol of the key to the eternal life and strength in this life. Lead free pewter Ankh amulet, With cord. Made in U.S.A. Approx. 1"" x 1 1/4"" at widest points.","6","0.05","7.95",10/11/2019 0:00:00,0,"AANK3.jpg                                ",0
"AANTM11             ","Seal of Antiquelis amulet                                                                                               ","From the 6th and 7th book of Moses this amulet can be used to summon one of the great princes to help provide great wealth and honor. Made in U.S.A. Has cord. Lead free pewter. 1 1/4”","21","0.04","7.95",,0,"AANTM11.JPG                              ",0
"AARAP               ","Archangel Raphael amulet                                                                                                ","Wear this amulet of the Archangel Raphael to bring his gentle healing and subtle influence into your life.  Pewter pendant only. Made in U.S.A.","41","0.005","1.95",,0,"AARAP.jpg                                ",0
"AARR                ","Arrow Head talisman                                                                                                     ","Charged to give its wearer protection from envy, jealousy and harm. Variously colored jewel. Made in USA. Has cord. Lead free pewter. 1 1/2"" x 3/4"".","5","0.02","7.95",10/11/2019 0:00:00,0,"AARR.JPG                                 ",0
"AASET               ","Archangel set amulet                                                                                                    ","A set of five Archangel medallions. Wear one or all five when seeking the attention or protection of the Archangels. Each bears the inscription ""Pray for us"" on the reverse.  Lead free pewter pendants only. 1"" x 5/8"". Made in U.S.A.","19","0.02","10.95",,0,"AASET.jpg                                ",0
"AAURI               ","Archangel Uriel amulet                                                                                                  ","Wear this amulet of the Archangel Uriel to bring his sometimes harsh but always fair gaze into your life. Lead free pewter pendant only. 1"" x 1/2"". Made in U.S.A.","26","0.005","1.95",,0,"AAURI.jpg                                ",0
"ABAP666             ","Goat Head 666 amulet                                                                                                    ","A medallion displaying a pentagram with a Sabbatic goat head and the symbolic number 666 displayed at the top along with other mystic symbols. Made in USA. Has cord. Lead free pewter. 1”. Made in U.S.A.","5","0.04","8.95",10/11/2019 0:00:00,0,"ABAP666.jpg                              ",0
"ABAPG               ","Baphomet Goat amulet                                                                                                    ","This famous symbol of goat head on inverted pentacle is an old symbol. The Goat head in many eastern paths is karmic or relating to earthly unity yet for some it is the Sabbatic Goat. Large well made pendant with raised features and fixed bale. Lead free pewter - with cord. 2"". Made in U.S.A.","86","0.05","8.95",,0,"ABAPG.jpg                                ",0
"ABAPG6              ","Goat Head Star amulet                                                                                                   ","Baphomet is often revered as the Goat-headed God of nature, or the balancing male force to the female Goddess. Made in USA. Has cord. Lead free pewter. 1 1/4"" .","33","0.04","7.95",,0,"ABAPG6.JPG                               ",0
"ABEAR               ","Bear Power amulet                                                                                                       ","This amulet brings to you the guidance and the power of the bear, helping you through your dreams and giving you strength in your life. Made in USA. Has cord. Lead free pewter. 1”.","8","0.04","7.95",10/11/2019 0:00:00,0,"ABEAR.JPG                                ",0
"ABLAC               ","Black Cat amulet                                                                                                        ","A powerful charm of good luck, this amulet brings the lucky fortune of the black cat into your life. Powder coated, lead free pewter. No cord.","51","0.02","6.95",10/18/2019 0:00:00,0,"ABLAC.jpg                                ",0
"ABLACH              ","Black Cat & Horseshoe amulet                                                                                            ","A powerful charm of good luck, this amulet brings the lucky fortune of the black cat and horseshoe into your life. Powder coated lead free pewter. No cord. Each amulet 1"" x 5/8"". Made in U.S.A.","27","0.02","8.95",,0,"ABLACH.jpg                               ",0
"ABLACP              ","Black Cat & Pentagram amulet                                                                                            ","A pewter amulet pair showing a black cat and a small interwoven pentagram. Comes with both charms. Made in USA. Has cord. Lead free pewter. 1” x 1”.","39","0.05","8.95",,0,"ABLACP.jpg                               ",0
"ABUD                ","Buddha amulet                                                                                                           ","Use this amulet to seek additional guidance and wisdom in your search for peace and harmony. Variously colored jewel. Made in USA. Has cord. Lead free pewter. 1"" x 1/2"".","36","0.02","4.95",,0,"ABUD.JPG                                 ",0
"ABUDH               ","Buddha, Happy                                                                                                           ","Buddha literally means enlightened one, a knower. This happy Buddha will aid you in your every day meditations, wear it to remind you to seek, joy, inner peace and the middle way in all things. Comes with cord. Made in USA. 1 1/2"" x 3/4"" at widest points.","12","0.03","7.95",,0,"ABUDH.jpg                                ",0
"ABUTP               ","Butterfly with Purple Spots                                                                                             ","Beautiful lead free pewter silver toned, butterfly pendant, garnished its purpled highlight dots atop of its lovely wings. Measures approximately 2"" x 1 1/4"" to farthest points.  Comes with chord. Made in USA.","0","0.02","7.95",,1,"ABUTP.jpg                                ",0
"ACAD                ","Caduceus amulet                                                                                                         ","Widely associated with the gods Hermes and Mercury the Caduceus is a powerful symbol of communication, guidance. Has cord. Lead free pewter. 1 1/2"" x 1 1/2"" . Made in U.S.A.","10","0.02","8.95",,0,"ACAD.jpg                                 ",0
"ACAGLA              ","A.G.L.A. talisman silver color                                                                                          ","Designed with Hermetic and Kabalistic precepts, this talisman includes a simple ritual to activate the talisman. Card printed in English and French. Has cord. Fine lead free pewter. 1 1/4”.","9","0.08","25.95",,0,"ACAGLA.jpg                               ",0
"ACAT                ","Cat amulet                                                                                                              ","A pewter, amulet with the ever so symbolic cat, sitting mid-center of an oblong silver colored lead free pewter pendant. Comes with cord, measures approximately 1 1/8"" L x 3/4"" W. Made in the U.S.A.","0","0.03","4.95",10/11/2019 0:00:00,0,"ACAT.jpg                                 ",0
"ACAUL               ","Black Cauldron amulet                                                                                                   ","The Cauldron amulet is shaped into the image of a traditional cauldron and marked with the five pointed star, it is a powerful symbol of magical rebirth and the forces of creation. Made in U.S.A. Lead free pewter, Has cord. 1 1/4"" x 1 1/2"".","6","0.03","7.95",,0,"ACAUL.jpg                                ",0
"ACAUP               ","Cauldron with Pentacle amulet                                                                                           ","The Star Cauldron amulet is shaped into the image of a traditional cauldron and marked with the five pointed star, it is a powerful symbol of magical rebirth and the forces of creation. Made in U.S.A. Lead free pewter, Has cord. 1"" x 1"".","23","0.03","8.95",,0,"ACAUP.jpg                                ",0
"ACCELH              ","Celtic Heart amulet                                                                                                     ","This is a powerful aid in empowering your love spells, and helping to find everlasting love. Has cord. Pewter. 1 1/4"" x 1 1/4"". Made in U.S.A.","15","0.03","10.95",10/11/2019 0:00:00,0,"ACCELH.JPG                               ",0
"ACCELM              ","Celtic Moon Celestial amulet                                                                                            ","The Celtic Moon celestial amulet is a great aid when you are seeking blessings for positive change in your life. Has cord. Pewter. 1 1/2"" x 3/4"". Made in USA","15","0.03","10.95",10/11/2019 0:00:00,0,"ACCELM.jpg                               ",0
"ACCELR              ","Celestial Repose amulet                                                                                                 ","Invoke the quiet peace found in the acceptance of the cycles of nature with this pewter amulet depicting the two most visible symbols of that cycle. Has cord. Pewter. 1 1/4"".  Made in USA","7","0.03","10.95",10/11/2019 0:00:00,0,"ACCELR.jpg                               ",0
"ACCRER              ","Crescents Rising Celestial amulet                                                                                       ","Harness the power of the crescent moon within your spell craft with the aid of this potent Crescents Rising celestial amulet. Has cord. Pewter. 1"". Made in USA","9","0.03","10.95",10/11/2019 0:00:00,0,"ACCRER.jpg                               ",0
"ACDRA               ","Celtic Dragon amulet                                                                                                    ","A symbol of raw, elemental nature, the Celtic Dragon on this amulet is a powerful aid in helping to draw upon these raw elements. Has cord. Pewter. 1 1/2"" x 1"". Made in USA","20","0.03","10.95",,0,"ACDRA.JPG                                ",0
"ACDRAM              ","Dragon Moon Celestial amulet                                                                                            ","Displaying a dragon curled as though it were the crescent moon, this amulet is a great focus to for helping to draw lunar energies. Has cord. Pewter. 1 1/4"" x 1"". Made in USA","12","0.03","10.95",,0,"ACDRAM.jpg                               ",0
"ACELC               ","Celtic Cross amulet                                                                                                     ","The Celtic cross, is one of the few symbols to have survived the Christianization of the European continent and retain its meaning and use virtually unchanged. Has cord. Pewter. 1 7/8” x 1 3/8”. Made in USA.","14","0.03","8.95",,0,"ACELC.jpg                                ",0
"ACELET              ","Celtic Eternity amulet                                                                                                  ","Using the Celtic Triquetra as a sign of eternity, this amulet helps to instill patience and perspective within your life. Has cord. Lead free pewter. 3/4"" Made in USA","18","0.02","7.95",,0,"ACELET.JPG                               ",0
"ACELM               ","Celtic Moon & Cat amulet                                                                                                ","Nicely designed amulet Cat sitting upon a Celtic designed moon, with a small encircled pentacle, silver toned lead free pewter. Made in USA. Comes with cord. Approximately 1 1/4” from bottom tip to top loop x 3/4"" at farthest width points .","32","0.02","7.95",,0,"ACELM.jpg                                ",0
"ACELP               ","Celtic Knot Pentagram amulet                                                                                            ","Drawing upon the infinite knotwork of Celtic design, this pentagram is a powerful tool for growth, prosperity and fertility. Made in USA. Has cord. Lead free pewter. 1"" Made in USA.","13","0.03","7.95",,0,"ACELP.JPG                                ",0
"ACELSUN             ","Celtic Sun Cross amulet                                                                                                 ","This iconic cross with a Sun circle blends pagan and Christian motifs.  Wear or hang near you for constant blessings and protection. 3"" Made in USA.","4","0.03","8.95",,0,"ACELSUN.jpg                              ",0
"ACGAB               ","Gabriel talisman silver color                                                                                           ","Designed with Hermetic and Kabalistic precepts, this talisman includes a simple ritual to activate the talisman. Card printed in English and French. Has cord. Fine Pewter. 1 1/4” Made in USA","6","0.08","25.95",,0,"ACGAB.jpg                                ",0
"ACGRE               ","Celtic Greenman amulet                                                                                                  ","Displaying the Greenman, the traditional symbol for nature’s rebirth, this amulet is a powerful aid in seeking transformation and rebirth of your own. Has cord. Pewter. 1 1/4"" Made in USA","26","0.03","10.95",,0,"ACGRE.JPG                                ",0
"ACHA                ","Change Your Luck amulet                                                                                                 ","Showing the image of Buddha with a luck moon on one side, and balanced on the other with several more symbols of good fortune. Made in USA. Has cord. Lead free pewter.  1 1/4”.","48","0.04","7.95",10/18/2019 0:00:00,0,"ACHA.JPG                                 ",0
"ACHIM               ","Chinese Money Cat amulet                                                                                                ","This money cat holds a gold coin. Some say it originated in Japan. It is said a monk cared for a stray cat even though he had little, then as a reward the cat brought fortune to the temple. Bring fortune to yourself with this prosperity money talisman. Gold tone lead free pewter. USA, Has cord. 1"".","1","0.05","8.95",10/11/2019 0:00:00,0,"ACHIM.jpg                                ",0
"ACHOW               ","Howling Moon Celestial amulet                                                                                           ","This lead free pewter amulet showing a crescent moon and stars overlaid with a howling wolf will aid you in calling upon the Moon and Goddess. Has cord. Pewter. 1 1/2"" x 1 1/4"". Made in USA","25","0.03","10.95",,0,"ACHOW.JPG                                ",0
"ACIR862             ","Circle of Protection amulet                                                                                             ","This powerful amulet presents the ancient Mohammedan magic circle to protect you from harm. Made in USA. Has cord. Lead free pewter. 1 1/2"".","88","0.06","7.95",,0,"ACIR862.JPG                              ",0
"ACMET               ","Metatron talisman silver color                                                                                          ","Designed with Hermetic and Kabalistic precepts, this talisman includes a simple ritual to activate the talisman. Card printed in English and French. Has cord. Fine Pewter. 1 1/4"" ","3","0.08","25.95",,0,"ACMET.jpg                                ",0
"ACMIC               ","Saint Michael talisman silver color                                                                                     ","Designed with Hermetic and Kabalistic precepts, this talisman includes a simple ritual to activate the talisman. Card printed in English and French. Has cord. Fine Pewter. 1 1/4” ","13","0.08","25.95",,0,"ACMIC.jpg                                ",0
"ACMIDD              ","Midnight Dragon amulet                                                                                                  ","The Midnight Dragon Amulet depicts a Dragon resting upon the slumbering moon as a powerful focus both for the raw and celestial energies. Has cord. Pewter. 1 1/2"" x 1"" Made in USA","14","0.03","10.95",10/11/2019 0:00:00,0,"ACMIDD.jpg                               ",0
"ACNAT               ","Nathair amulet                                                                                                          ","Inspired and created around the Celtic word for snake, Nathair, this amulet is a token intended to bring wisdom and guidance into your life. Has cord. Pewter. 1 1/4"" Made in USA","12","0.03","10.95",,0,"ACNAT.JPG                                ",0
"ACON20              ","Control Evil Spirits amulet                                                                                             ","Intended to aid you in controlling evil spirits, this amulet will help you protect health and well-being. Made in USA. Has cord. Lead free pewter. 1"". Made in U.S.A.","19","0.04","7.95",,0,"ACON20.JPG                               ",0
"ACONENE             ","Confuse & Defeat Enemy amulet                                                                                           ","A double armed cross called Patriarchal or Cross or Caravaca, beneath is infinity cycling along with the runic symbol, Eihwaz, for enlightenment and release. Made in USA. Has cord. Lead free pewter. 1”.","92","0.02","7.95",,0,"ACONENE.JPG                              ",0
"ACPEN               ","Pentagram talisman silver color                                                                                         ","Designed with Hermetic and Kabalistic precepts, this talisman includes a simple ritual to activate the talisman. Card printed in English and French. Has cord. Fine Pewter. 1 1/4” ","6","0.08","25.95",,0,"ACPEN.jpg                                ",0
"ACPENM              ","Pentacle Moon Celestial amulet                                                                                          ","Draw upon the mystic power of the moon with the Pentacle Moon celestial amulet, which is intended to help you surround yourself with lunar energies. Has cord. Pewter. 1 1/4"" Made in USA","32","0.03","10.95",,0,"ACPENM.jpg                               ",0
"ACPROP              ","Protection Pectoral talisman silver color                                                                               ","Designed with Hermetic and Kabalistic precepts, this talisman includes a simple ritual to activate the talisman. Card printed in English and French. Has cord. Fine Pewter. 2” ","0","0.15","25.95",10/25/2019 0:00:00,0,"ACPROP.jpg                               ",0
"ACRAP               ","Raphael talisman silver color                                                                                           ","Designed with Hermetic and Kabalistic precepts, this talisman includes a simple ritual to activate the talisman. Card printed in English and French. Has cord. Fine Pewter. 1 1/4""","11","0.08","25.95",,0,"ACRAP.jpg                                ",0
"ACRAZ               ","Raziel talisman silver color                                                                                            ","Designed with Hermetic and Kabalistic precepts, this talisman includes a simple ritual to activate the talisman. Card printed in English and French. Has cord. Fine Pewter. 1 1/4”","11","0.08","25.95",,0,"ACRAZ.jpg                                ",0
"ACROF               ","Crow Feather amulet                                                                                                     ","Wear or carry the energy of the crow, with this beautifully detailed black crows feather made of pewter . Comes with cord, silver toned lead free pewter. 1 3/4"" x 1"". Made in USA.","1","0.03","6.95",10/11/2019 0:00:00,0,"ACROF.jpg                                ",0
"ACTET               ","Tetagrammation talisman silver color                                                                                    ","Designed with Hermetic and Kabalistic precepts, this talisman includes a simple ritual to activate the talisman. Card printed in English and French. Has cord. Fine Pewter/Copper Finish. 1 1/4""","20","0.08","25.95",,0,"ACTET.jpg                                ",0
"ACTETB              ","Tetagrammation talisman copper color                                                                                    ","Designed with Hermetic and Kabalistic precepts, this talisman includes a simple ritual to activate the talisman. Card printed in English and French. Has cord. Fine Pewter/Copper Finish. 1 1/4”","0","0.08","25.95",10/25/2019 0:00:00,0,"ACTETB.jpg                               ",0
"ACTHO               ","Norse Pride talisman                                                                                                    ","This amulet bears Thor’s head within his hammer, his beard twirled into Celtic knotwork. A powerful symbol of strength, power and eternal protection. Has cord. Pewter. 1 1/2"" x 1 1/4"" Made in USA","40","0.03","10.95",,0,"ACTHO.JPG                                ",0
"ACTRE               ","Celtic Tree of Life amulet                                                                                              ","With night and day, between its canopy and its roots, the Celtic Tree of Life bridges the gap between heaven and earth. Has cord. Pewter. 1 1/4"" Made in USA","25","0.05","10.95",,0,"ACTRE.JPG                                ",0
"ACTRI               ","Triskele amulet                                                                                                         ","An eternal knot that forms the three points of a triangle, this amulet takes the shape of a Triskele; a powerful symbol of the Goddess. Has cord. Pewter. 1"" Made in USA.","7","0.05","10.95",10/11/2019 0:00:00,0,"ACTRI.JPG                                ",0
"ACTRIS              ","Triskele Shield amulet                                                                                                  ","Displaying a triskele upon a round shield, this amulet represents the cycle of mind, body and spirit, and can aid you in your search for spiritual growth. Has cord. Pewter. 1 1/4"" Made in USA","19","0.03","10.95",,0,"ACTRIS.JPG                               ",0
"ACUNI               ","Harmonious Universe Celestial amulet                                                                                    ","The sun, moon, planets and stars gathered within the same circle of harmony. Useful in finding peace from the universal balance around us. Has cord. Pewter. 1 1/2"" x 1"" Made in USA","15","0.03","11.95",,0,"ACUNI.jpg                                ",0
"ACURI               ","Uriel talisman silver color                                                                                             ","Designed with Hermetic and Kabalistic precepts, this talisman includes a simple ritual to activate the talisman. Card printed in English and French. Has cord. Fine Pewter. 1 1/4” ","11","0.08","25.95",,0,"ACURI.jpg                                ",0
"ACVENR              ","Venus Rising Celestial amulet                                                                                           ","A moon made partly with Celtic knotwork and a manmade gem between the tips of the crescent, this amulet is great for love spells, and magic of passion. Has cord. Pewter. 1 1/4"" Made in USA","28","0.03","10.95",,0,"ACVENR.jpg                               ",0
"ACWEL               ","Well Cover amulet                                                                                                       ","This amulet draws upon those healing energies said to reside within the Chalice Well in Glastonbury, also known as the red well of the Goddess. Has cord. Pewter. 1 1/4"" Made in USA","20","0.03","10.95",,0,"ACWEL.JPG                                ",0
"ACWIN               ","Windblown Celestial amulet                                                                                              ","Wear the Windblown Celestial Amulet or use it in your spell craft to help find spiritual and emotional shelter when the winds of life have blown you off course. Has cord. Pewter. 1 1/4"" Made in USA.","22","0.03","10.95",,0,"ACWIN.jpg                                ",0
